"wage","educ","age","exper","female","nonwhite","married","urban","fulltime","union","northeast","midwest","south","west"
6.68,13,34,15,1,0,0,1,0,0,0,0,0,1
5.53,12,56,38,1,0,1,0,0,0,0,1,0,0
4.03,12,27,9,1,0,1,1,0,0,0,0,0,1
9.21,16,23,1,1,0,0,1,0,0,0,0,1,0
8.84,16,24,2,0,0,0,1,0,0,1,0,0,0
5.16,12,22,4,1,0,0,1,0,0,1,0,0,0
4.6,12,34,16,1,0,1,1,0,0,1,0,0,0
6.91,14,38,17,1,0,1,1,0,0,1,0,0,0
14.73,13,40,20,1,0,0,1,0,0,0,0,0,1
3.46,13,26,7,1,0,0,0,0,0,0,0,1,0
2.07,12,26,7,0,0,0,1,0,0,0,1,0,0
3.98,13,46,27,1,0,1,0,0,0,0,1,0,0
3.68,13,19,0,1,0,0,1,0,0,0,1,0,0
10.31,12,43,24,1,0,1,1,0,0,1,0,0,0
13.1,16,31,9,1,0,1,1,0,0,0,1,0,0
3.68,12,38,20,1,0,1,1,0,0,0,1,0,0
5.51,13,19,0,0,0,0,1,0,0,0,1,0,0
9.03,16,44,22,1,0,1,1,0,0,1,0,0,0
3.68,10,18,2,0,0,0,0,0,0,0,0,0,1
5.16,16,26,4,1,0,1,1,0,0,1,0,0,0
4.42,14,25,5,1,0,1,0,0,0,0,1,0,0
12.16,13,34,15,1,0,1,1,0,0,0,0,0,1
2.95,14,30,10,1,0,1,1,0,0,1,0,0,0
3.87,13,48,29,1,0,1,1,0,0,0,1,0,0
8.47,12,58,40,1,0,1,1,0,0,0,0,1,0
1.58,13,22,3,1,0,0,1,0,0,0,0,0,1
13.07,18,32,8,1,0,1,1,0,0,1,0,0,0
9.58,12,54,36,0,0,1,1,0,0,1,0,0,0
4.05,14,22,2,1,0,1,0,0,0,0,1,0,0
3.82,12,52,33,1,0,1,1,0,0,0,0,1,0
5.89,13,61,42,1,0,1,1,0,0,0,1,0,0
4.45,13,22,2,1,0,1,1,0,0,0,0,0,1
6.11,12,42,24,1,0,0,1,0,0,0,0,1,0
13.64,12,47,29,0,0,1,0,0,0,0,0,0,1
4.79,16,23,1,1,0,1,0,0,0,0,1,0,0
5.89,12,36,18,1,0,1,1,0,0,0,0,1,0
11.44,13,29,10,0,0,0,1,0,0,1,0,0,0
5.38,13,20,1,0,0,0,1,0,0,0,0,1,0
7,12,21,3,1,0,0,0,0,0,0,0,1,0
10.46,12,58,39,1,0,1,0,0,0,0,0,0,1
4.42,13,29,10,1,0,0,1,0,0,0,0,0,1
4.91,12,22,3,1,0,1,0,0,0,0,0,0,1
5.16,13,59,40,0,0,1,0,0,0,0,0,0,1
4.51,12,57,39,1,0,1,1,0,0,1,0,0,0
5.75,12,39,21,1,0,1,1,0,0,0,1,0,0
11.79,18,41,17,1,0,1,1,0,0,1,0,0,0
3.83,13,61,42,1,0,1,1,0,0,0,0,1,0
36.84,13,26,7,1,0,1,1,0,0,0,0,0,1
3.5,13,28,9,1,0,0,0,0,0,0,0,0,1
4.28,12,41,23,1,0,1,1,0,0,0,0,0,1
5.53,12,31,13,1,0,1,1,0,0,0,1,0,0
4.93,16,46,23,0,0,0,1,0,0,0,1,0,0
3.68,12,19,0,1,0,0,1,0,0,0,1,0,0
7.37,13,20,1,0,0,0,1,0,0,0,0,1,0
6.68,12,40,22,1,0,1,1,0,0,0,1,0,0
5.16,13,19,0,1,0,0,1,0,0,1,0,0,0
3.68,12,37,19,1,0,1,1,0,0,0,0,1,0
10.52,12,39,21,1,0,1,1,0,0,1,0,0,0
3.68,12,42,24,1,0,0,1,0,0,0,0,1,0
78.71,18,63,39,1,0,0,1,0,0,0,0,1,0
6.41,12,45,26,1,0,1,1,0,0,0,1,0,0
7.37,12,25,7,1,0,1,1,0,0,1,0,0,0
6.45,13,32,13,1,0,1,1,0,0,1,0,0,0
21.25,16,51,29,0,0,1,1,0,0,0,0,0,1
5.34,12,42,24,1,0,1,0,0,0,0,1,0,0
5.53,12,20,2,1,0,0,1,0,0,1,0,0,0
5.16,13,49,30,1,0,1,1,0,0,0,0,1,0
4.6,13,25,6,0,0,0,1,0,0,0,1,0,0
3.68,12,19,1,0,0,0,1,0,0,0,0,0,1
23.58,16,40,18,1,0,1,1,0,0,0,0,1,0
4.79,13,21,2,0,0,0,1,0,0,0,1,0,0
4.05,16,34,12,1,0,1,1,0,0,0,0,1,0
9.21,14,28,8,1,0,1,1,0,0,0,1,0,0
7.9,18,50,26,1,0,1,1,0,0,1,0,0,0
4.42,13,19,0,1,0,0,1,0,0,1,0,0,0
12.38,16,43,21,1,0,1,1,0,0,1,0,0,0
3.68,13,22,3,1,0,0,0,0,0,0,0,1,0
5.45,12,38,19,1,0,1,1,0,0,0,0,0,1
4.42,13,39,20,1,0,1,1,0,0,0,1,0,0
4.72,14,35,15,1,0,0,1,0,0,0,0,0,1
28.33,18,62,38,0,0,1,1,1,0,0,0,1,0
5.16,13,43,24,0,0,1,1,1,0,0,0,0,1
3.5,6,33,21,0,0,1,0,1,0,0,0,0,1
4.95,12,30,12,1,0,1,1,1,0,0,1,0,0
4.42,13,35,16,1,0,0,1,1,0,0,0,1,0
19.47,13,55,36,0,0,1,1,1,0,0,0,1,0
9.01,12,35,17,0,0,0,1,1,0,1,0,0,0
4.79,12,31,13,1,0,0,1,1,0,0,0,1,0
6.45,12,43,25,1,0,0,0,1,0,0,0,1,0
10.61,12,38,20,1,0,1,1,1,0,0,0,1,0
7.68,16,31,9,0,0,1,1,1,0,1,0,0,0
11.05,16,34,12,1,0,0,1,1,0,0,0,0,1
17.13,13,50,31,1,0,0,1,1,0,0,0,0,1
2.95,10,55,39,1,0,0,1,1,0,0,0,1,0
16.68,16,29,7,1,0,1,1,1,0,1,0,0,0
8.75,12,59,40,0,0,1,1,1,0,0,1,0,0
13.41,16,41,19,1,0,1,1,1,0,0,0,1,0
10.45,12,37,19,0,0,1,1,1,0,0,0,1,0
1.85,11,41,24,0,0,0,0,1,0,0,0,1,0
12.91,16,24,2,1,0,1,1,1,0,0,0,1,0
33.63,18,36,11,0,0,1,1,1,0,0,0,1,0
4.6,13,55,36,1,0,0,1,1,0,0,1,0,0
5.53,6,23,11,0,0,1,1,1,0,0,0,1,0
6.63,13,30,11,0,0,0,1,1,0,0,1,0,0
15.93,14,33,13,0,0,1,1,1,0,0,1,0,0
12.97,16,25,3,0,0,0,1,1,0,0,1,0,0
14,10,45,29,0,0,1,1,1,0,1,0,0,0
23.61,18,59,35,0,0,1,1,1,0,0,1,0,0
7.37,13,23,4,0,0,0,1,1,0,0,1,0,0
7,14,50,30,1,0,1,1,1,0,0,0,0,1
21.88,14,59,39,0,0,0,1,1,0,0,0,0,1
5.89,12,50,32,1,0,1,1,1,0,1,0,0,0
7,12,27,8,0,0,0,1,1,0,1,0,0,0
6.96,12,36,18,0,0,0,1,1,0,1,0,0,0
12.71,14,37,17,1,0,1,1,1,0,0,1,0,0
7.2,13,24,5,0,0,1,1,1,0,0,0,0,1
7.02,14,41,21,1,0,1,0,1,0,0,0,0,1
10.1,12,41,23,0,0,1,1,1,0,0,0,1,0
16.99,16,50,28,0,0,1,1,1,0,1,0,0,0
6.6,16,24,2,0,0,1,1,1,0,0,0,1,0
5.89,13,31,11,1,0,0,1,1,0,1,0,0,0
7.53,16,26,4,1,0,1,1,1,0,0,1,0,0
30.84,18,54,30,0,0,1,1,1,0,0,0,1,0
10.13,13,44,25,0,0,1,1,1,0,0,0,1,0
5.89,13,56,36,1,0,1,1,1,0,0,1,0,0
4.42,13,26,7,1,0,1,0,1,0,0,0,0,1
4.6,12,39,21,0,0,0,1,1,0,0,0,1,0
5.89,10,37,21,1,0,0,1,1,0,0,0,1,0
13.97,12,37,18,0,0,1,1,1,0,0,0,1,0
11.05,13,29,10,0,0,0,1,1,0,0,0,0,1
17.85,16,31,9,0,0,0,1,1,0,1,0,0,0
8.84,11,64,47,0,0,1,1,1,0,0,0,1,0
5.06,12,37,19,1,0,1,1,1,0,0,0,1,0
17.71,18,43,19,1,0,1,1,1,0,1,0,0,0
5.67,13,28,8,0,0,1,1,1,0,0,0,1,0
5.89,13,24,5,0,0,1,1,1,0,0,0,0,1
9.03,16,33,11,1,0,1,1,1,0,0,0,1,0
7.78,16,36,14,0,0,0,1,1,0,0,0,1,0
17.7,14,36,16,0,0,0,1,1,0,1,0,0,0
15.34,18,39,15,1,0,1,0,1,0,1,0,0,0
9.58,12,25,7,0,0,1,1,1,0,0,0,0,1
17.57,13,33,14,0,0,1,1,1,0,0,0,1,0
8.24,18,30,6,1,0,0,1,1,0,0,0,1,0
7.37,16,23,1,1,0,0,1,1,0,0,0,1,0
5.65,13,61,42,1,0,0,1,1,0,1,0,0,0
7.37,12,54,36,1,0,1,1,1,0,0,0,0,1
10.61,16,37,15,1,0,1,1,1,0,1,0,0,0
8.49,13,47,28,0,0,0,0,1,0,0,1,0,0
18.88,18,30,6,0,0,1,1,1,0,1,0,0,0
14.16,13,58,39,0,0,1,1,1,0,0,0,1,0
3.49,12,25,7,1,0,1,0,1,0,0,0,1,0
4.79,12,20,2,0,0,0,1,1,0,0,1,0,0
14.17,16,47,25,1,0,0,1,1,0,0,0,0,1
9.84,12,29,11,0,0,1,1,1,0,0,1,0,0
3.97,11,42,25,1,0,1,0,1,0,0,0,1,0
4.95,14,25,5,1,0,1,0,1,0,0,0,0,1
4.79,14,35,14,1,0,0,1,1,0,0,1,0,0
4.79,4,30,20,0,0,0,1,1,0,1,0,0,0
11.22,12,34,16,1,0,1,1,1,0,0,0,1,0
7.37,12,22,3,0,0,0,1,1,0,0,1,0,0
5.25,12,35,17,1,0,0,1,1,0,1,0,0,0
8.32,14,26,5,1,0,0,1,1,0,0,0,1,0
17.7,12,51,33,0,0,1,1,1,0,0,0,1,0
10.61,12,44,26,0,0,0,1,1,0,0,1,0,0
5.16,12,30,12,1,0,0,1,1,0,1,0,0,0
7.07,12,47,29,1,0,0,1,1,0,1,0,0,0
9.58,16,23,1,1,0,0,0,1,0,0,1,0,0
23.23,13,31,12,1,0,1,1,1,0,0,0,1,0
7.92,12,41,23,0,0,0,1,1,0,0,0,0,1
8.25,10,34,18,0,0,0,1,1,0,0,0,1,0
13.6,13,45,26,0,0,1,0,1,0,0,0,0,1
8.84,13,29,10,1,0,0,1,1,0,0,0,0,1
7.07,18,54,30,1,0,1,1,1,0,0,0,0,1
7.74,12,47,29,0,0,1,1,1,0,0,0,0,1
6.26,13,43,24,1,0,1,0,1,0,0,0,0,1
11.95,12,53,35,0,0,1,1,1,0,0,0,1,0
5.16,6,37,25,0,0,0,1,1,0,0,0,0,1
12.12,12,63,45,1,0,0,0,1,0,0,1,0,0
18.01,18,32,8,0,0,1,1,1,0,1,0,0,0
11.79,14,44,24,0,0,1,1,1,0,0,0,1,0
16.58,12,31,12,1,0,1,1,1,0,0,0,1,0
4.79,12,22,4,0,0,0,1,1,0,0,0,0,1
14.86,14,32,12,1,0,0,1,1,0,0,0,1,0
5.42,12,40,22,1,0,1,1,1,0,0,1,0,0
11.45,12,52,34,0,0,0,1,1,0,0,1,0,0
5.65,12,46,28,1,0,1,1,1,0,0,0,0,1
6.23,12,23,5,0,0,0,1,1,0,1,0,0,0
8.49,16,26,4,0,0,1,1,1,0,0,1,0,0
11.75,14,36,16,0,0,0,0,1,0,0,1,0,0
22.95,18,51,27,0,0,1,1,1,0,0,0,1,0
16.19,13,42,23,0,0,1,0,1,0,0,1,0,0
6.7,13,18,1,0,0,0,1,1,0,0,0,0,1
10.61,18,48,24,0,0,1,1,1,0,0,0,1,0
12.89,16,49,27,1,0,1,1,1,0,0,0,0,1
9.82,12,28,10,0,0,0,1,1,0,0,1,0,0
7.37,12,54,36,0,0,1,0,1,0,0,1,0,0
18.42,13,39,20,0,0,1,0,1,0,0,1,0,0
17.7,12,39,21,1,0,0,1,1,0,0,0,0,1
6.99,12,32,14,0,0,1,0,1,0,0,0,1,0
7.88,12,33,14,1,0,0,1,1,0,0,0,1,0
35.42,18,45,21,0,0,1,1,1,0,1,0,0,0
7.55,12,33,14,1,0,1,1,1,0,0,1,0,0
14.73,16,54,32,0,0,1,1,1,0,0,0,1,0
7.64,12,55,37,1,0,1,0,1,0,0,0,0,1
10.61,14,54,34,1,0,1,1,1,0,0,0,1,0
12.4,13,38,19,0,0,1,1,1,0,1,0,0,0
16.58,12,34,16,0,0,1,1,1,0,1,0,0,0
4.42,9,24,9,0,0,1,1,1,0,0,0,0,1
7.96,14,43,23,1,0,1,0,1,0,1,0,0,0
14.16,16,40,18,0,0,1,1,1,0,0,1,0,0
16.58,14,58,38,1,0,1,1,1,0,0,0,1,0
11.97,13,28,9,0,0,0,1,1,0,0,0,1,0
9.23,12,33,15,1,0,1,1,1,0,0,1,0,0
12.89,16,28,6,0,0,1,1,1,0,1,0,0,0
18.42,18,53,29,1,0,0,1,1,0,0,0,1,0
12.89,14,45,25,0,0,1,1,1,0,0,1,0,0
8.1,12,25,7,0,0,1,1,1,0,0,1,0,0
8.49,12,34,16,1,0,1,1,1,0,0,0,1,0
9.06,12,46,28,1,0,0,1,1,0,0,1,0,0
28.33,16,36,14,1,0,0,1,1,0,1,0,0,0
8.84,14,57,36,0,0,1,0,1,0,0,1,0,0
14.16,14,57,37,0,0,1,1,1,0,0,0,0,1
15.17,18,47,23,1,0,0,1,1,0,0,1,0,0
7.37,12,22,4,1,0,1,1,1,0,1,0,0,0
4.42,13,24,5,1,0,0,0,1,0,0,0,0,1
4.42,4,18,8,0,0,0,1,1,0,0,0,1,0
5.53,13,33,13,0,0,0,0,1,0,0,0,1,0
5.16,14,25,5,0,0,1,1,1,0,0,0,0,1
3.39,18,25,1,1,0,0,1,1,0,0,0,1,0
8.07,13,48,29,1,0,0,1,1,0,0,0,1,0
5.53,13,29,10,0,0,0,0,1,0,0,0,0,1
2.88,12,59,41,1,0,1,1,1,0,0,0,1,0
5.66,13,56,37,1,0,1,1,1,0,0,0,0,1
5.89,13,45,26,1,0,0,1,1,0,1,0,0,0
29.08,18,52,28,1,0,1,1,1,0,0,0,1,0
5.78,13,28,9,0,0,1,0,1,0,0,1,0,0
17,12,28,10,1,0,1,1,1,0,1,0,0,0
4.6,16,48,26,1,0,1,1,1,0,1,0,0,0
7.37,12,47,29,1,0,1,1,1,0,0,1,0,0
5.3,12,20,2,0,0,0,0,1,0,0,0,0,1
21.25,16,29,7,0,0,1,1,1,0,1,0,0,0
7.37,12,24,6,0,0,1,1,1,0,0,0,0,1
7.66,13,60,41,1,0,0,1,1,0,0,0,1,0
8.68,12,37,19,1,0,1,1,1,0,1,0,0,0
12.4,13,36,17,1,0,1,1,1,0,0,0,1,0
6.99,12,42,24,1,0,0,1,1,0,0,0,1,0
4.79,13,20,1,1,0,0,1,1,0,0,1,0,0
4.86,12,18,0,0,0,0,1,1,0,0,1,0,0
23.8,18,45,21,1,0,1,1,1,0,0,0,0,1
19.32,18,57,33,0,0,1,1,1,0,1,0,0,0
5.95,12,32,13,0,0,1,1,1,0,0,0,1,0
6.63,13,27,8,0,0,0,0,1,0,0,0,0,1
13.52,14,42,22,0,0,1,0,1,0,1,0,0,0
31.16,16,36,14,0,0,0,1,1,0,1,0,0,0
5.53,11,36,19,1,0,1,1,1,0,1,0,0,0
16.39,12,62,44,0,0,1,1,1,0,1,0,0,0
4.95,16,44,22,1,0,1,1,1,0,0,0,1,0
5.16,13,21,2,1,0,0,1,1,0,0,1,0,0
3.31,13,19,0,1,0,0,1,1,0,0,0,1,0
5.16,9,36,21,0,0,1,0,1,0,0,0,1,0
6.31,14,56,36,0,0,1,1,1,0,0,0,0,1
17.48,12,60,42,0,0,1,1,1,0,0,0,1,0
4.05,12,39,21,0,0,0,1,1,0,0,0,0,1
5.99,13,50,31,0,0,1,1,1,0,0,0,1,0
9.43,12,43,25,0,0,0,0,1,0,0,0,1,0
28.33,16,32,10,0,0,1,1,1,0,1,0,0,0
18.86,16,53,31,0,0,1,1,1,0,0,0,0,1
26.56,18,48,23,1,0,1,1,1,0,0,0,0,1
20.63,16,49,27,1,0,1,1,1,0,1,0,0,0
11.05,12,42,24,0,0,0,0,1,0,0,0,1,0
2.83,16,41,19,1,0,0,0,1,0,0,1,0,0
6.63,13,20,1,1,0,0,1,1,0,1,0,0,0
4.04,13,26,7,1,0,0,0,1,0,0,0,0,1
8.66,12,27,9,0,0,0,1,1,0,0,1,0,0
15.93,12,42,24,0,0,1,0,1,0,0,1,0,0
4.42,12,52,34,1,0,1,1,1,0,1,0,0,0
8.34,16,29,7,1,0,1,0,1,0,0,0,1,0
15.29,13,50,31,1,0,1,1,1,0,1,0,0,0
12.75,12,44,26,0,0,1,1,1,0,0,0,0,1
12.4,16,38,16,0,0,1,1,1,0,0,0,1,0
10.2,14,29,9,0,0,1,1,1,0,0,0,0,1
20.67,16,56,34,0,0,1,1,1,0,0,0,1,0
7.89,13,36,16,0,0,1,1,1,0,0,0,1,0
14.37,12,50,32,1,0,1,1,1,0,0,0,0,1
14.86,16,54,31,1,0,1,0,1,0,0,0,1,0
5.89,9,35,20,1,0,0,1,1,0,0,0,1,0
8.49,12,50,32,1,0,1,1,1,0,0,0,1,0
4.45,10,23,7,1,0,1,1,1,0,0,0,1,0
11.33,14,29,9,1,0,0,1,1,0,0,1,0,0
8.1,12,37,19,0,0,1,1,1,0,1,0,0,0
6.45,16,29,7,1,0,1,1,1,0,1,0,0,0
6.63,12,52,34,1,0,1,1,1,0,0,0,1,0
9.34,13,30,11,0,0,1,0,1,0,0,0,0,1
8.84,11,35,17,0,0,0,1,1,0,0,1,0,0
5.44,12,27,9,1,0,1,1,1,0,1,0,0,0
8.19,16,57,35,0,0,1,1,1,0,0,0,1,0
14.07,16,48,26,0,0,1,1,1,0,0,0,0,1
6.63,12,43,25,1,0,1,1,1,0,0,1,0,0
10.2,12,53,35,0,0,1,1,1,0,0,0,0,1
4.42,12,41,23,0,0,0,1,1,0,0,1,0,0
12.86,12,38,20,1,0,1,1,1,0,1,0,0,0
9.75,12,38,20,0,0,1,0,1,0,0,1,0,0
8.84,11,29,12,1,0,0,1,1,0,0,0,1,0
9.29,16,31,9,0,0,1,1,1,0,0,0,0,1
16.62,16,37,15,0,0,1,1,1,0,0,1,0,0
6.63,12,33,15,1,0,1,1,1,0,1,0,0,0
6.26,13,44,25,1,0,1,1,1,0,0,1,0,0
10.02,13,36,17,0,0,1,0,1,0,0,1,0,0
14.16,18,56,32,1,0,1,1,1,0,0,0,1,0
17.5,16,37,15,1,0,0,1,1,0,0,1,0,0
6.26,12,37,19,1,0,1,1,1,0,0,0,0,1
9.58,14,27,7,0,0,1,0,1,0,0,0,1,0
9.92,16,32,10,1,0,1,1,1,0,0,0,1,0
19.12,14,41,21,0,0,1,1,1,0,0,0,1,0
6.19,12,34,16,1,0,0,1,1,0,0,0,1,0
23.61,18,41,17,1,0,0,1,1,0,0,0,0,1
3.68,9,50,35,1,0,0,1,1,0,0,0,0,1
17.85,12,55,37,0,0,1,0,1,0,0,0,0,1
28.33,16,31,9,0,0,0,0,1,0,0,1,0,0
12.03,16,47,25,0,0,1,1,1,0,1,0,0,0
10.76,16,53,31,0,0,1,1,1,0,0,1,0,0
7.37,12,48,30,0,0,1,1,1,0,0,1,0,0
4.6,12,38,20,1,0,1,1,1,0,1,0,0,0
5.89,12,27,8,0,0,1,0,1,0,0,0,1,0
8.26,12,44,26,0,0,1,1,1,0,0,0,0,1
11.05,13,43,24,0,0,1,1,1,0,0,0,1,0
8.47,13,37,18,1,0,0,1,1,0,0,0,1,0
14.16,16,38,16,0,0,0,1,1,0,0,0,0,1
23.72,16,54,32,0,0,1,1,1,0,0,0,0,1
11.86,13,35,16,0,0,0,1,1,0,0,0,0,1
10.13,12,40,22,1,0,1,1,1,0,0,1,0,0
12.98,14,31,11,0,0,1,1,1,0,0,0,0,1
28.33,12,35,17,0,0,1,1,1,0,1,0,0,0
3.68,12,24,6,1,0,1,0,1,0,0,1,0,0
6.7,8,36,22,0,0,1,1,1,0,0,0,0,1
23.02,13,49,30,0,0,1,1,1,0,0,0,0,1
5.56,16,31,9,1,0,0,1,1,0,0,0,1,0
11.79,16,23,1,1,0,1,1,1,0,0,0,0,1
8.1,12,27,9,1,0,0,1,1,0,1,0,0,0
30.35,16,39,16,0,0,0,1,1,0,1,0,0,0
8.84,13,58,39,0,0,1,1,1,0,0,0,1,0
10.07,13,45,26,0,0,1,0,1,0,0,1,0,0
15.11,18,63,39,0,0,1,1,1,0,0,1,0,0
11.05,12,37,19,0,0,1,1,1,0,0,1,0,0
6.61,12,63,45,1,0,1,1,1,0,0,1,0,0
5.19,14,41,21,1,0,0,0,1,0,0,1,0,0
35.42,14,42,22,0,0,0,1,1,0,0,1,0,0
28.33,16,50,28,0,0,1,1,1,0,0,1,0,0
23.61,16,52,30,0,0,0,1,1,0,1,0,0,0
9.45,12,52,34,1,0,1,1,1,0,0,0,1,0
28.33,14,42,21,0,0,0,1,1,0,0,0,1,0
19.47,16,58,36,0,0,1,0,1,0,0,0,1,0
7.54,13,33,14,1,0,0,1,1,0,0,0,1,0
3.68,12,33,15,0,0,0,1,1,0,0,0,1,0
12.89,13,25,6,0,0,0,1,1,0,0,0,0,1
7.99,12,34,16,1,0,0,1,1,0,0,1,0,0
7.23,13,49,30,0,0,1,1,1,0,1,0,0,0
19.83,18,35,11,0,0,0,1,1,0,1,0,0,0
5.76,16,47,25,0,0,1,1,1,0,1,0,0,0
6.63,12,54,36,0,0,1,1,1,0,0,0,0,1
4.6,16,32,10,1,0,0,0,1,0,0,0,1,0
4.29,10,44,28,0,0,0,0,1,0,0,0,0,1
6.35,13,31,12,1,0,1,0,1,0,0,1,0,0
5.89,12,21,3,1,0,0,0,1,0,1,0,0,0
14,12,33,15,0,0,0,1,1,0,0,1,0,0
11.05,12,55,37,0,0,1,0,1,0,0,1,0,0
24.79,16,34,12,1,0,1,1,1,0,1,0,0,0
12.75,18,53,29,0,0,1,1,1,0,0,0,1,0
10.11,14,28,8,0,0,1,1,1,0,1,0,0,0
28.33,16,40,18,0,0,1,1,1,0,0,1,0,0
12.75,16,46,24,0,0,1,1,1,0,1,0,0,0
11.05,13,49,30,0,0,1,1,1,0,0,0,1,0
3.86,12,20,1,1,0,0,0,1,0,0,0,0,1
11.05,13,25,6,0,0,1,1,1,0,1,0,0,0
18.23,16,45,23,0,0,0,1,1,0,0,0,1,0
4.79,9,32,17,0,0,1,1,1,0,0,0,1,0
16.43,13,50,31,0,0,1,1,1,0,0,0,1,0
10.61,12,36,18,1,0,1,1,1,0,1,0,0,0
3.97,12,29,11,1,0,0,1,1,0,0,1,0,0
21.91,13,57,38,0,0,1,1,1,0,0,1,0,0
9.76,12,34,15,1,0,1,1,1,0,1,0,0,0
7.37,12,38,20,0,0,1,1,1,0,1,0,0,0
2.71,4,41,31,1,0,1,1,1,0,0,0,1,0
5.42,12,46,28,1,0,1,0,1,0,0,1,0,0
3.68,11,18,1,1,0,0,1,1,0,0,0,1,0
7.42,10,31,15,1,0,1,1,1,0,0,0,1,0
7.37,13,42,23,1,0,0,1,1,0,0,0,1,0
3.54,11,44,27,1,0,0,0,1,0,0,0,1,0
5.99,14,29,9,1,0,1,0,1,0,0,1,0,0
4.97,12,59,41,0,0,1,1,1,0,0,0,0,1
4.4,12,20,2,0,0,0,1,1,0,1,0,0,0
5.89,12,24,6,0,0,1,1,1,0,0,0,1,0
11.14,12,49,31,0,0,1,0,1,0,0,1,0,0
4.22,16,23,1,0,0,0,1,1,0,0,1,0,0
17.7,13,27,8,0,0,0,0,1,0,0,0,0,1
4.24,13,44,25,0,0,1,0,1,0,0,0,1,0
5.16,13,24,5,1,0,1,1,1,0,0,0,0,1
